shrinkage,interaction.depth,n.minobsinnode,n_trees,bag.fraction,optimal_trees,min_RMSE,,
0.01,3,0,50,0,50,1.602259,,
0.05,3,0,50,0,50,1.450257,,
0.1,3,0,50,0,48,1.451355,,
0.01,5,0,50,0,50,1.589116,,
0.05,5,0,50,0,50,1.45392,,
0.1,5,0,50,0,50,1.460176,,
0.01,7,0,50,0,50,1.577539,,
0.05,7,0,50,0,50,1.451546,,
0.1,7,0,50,0,46,1.476008,,
0.01,3,0,100,0,100,1.537494,,
0.05,3,0,100,0,100,1.404993,,
0.1,3,0,100,0,100,1.43561,,
0.01,5,0,100,0,100,1.512274,,
0.05,5,0,100,0,100,1.415137,,
0.1,5,0,100,0,58,1.462746,,
0.01,7,0,100,0,100,1.505657,,
0.05,7,0,100,0,99,1.428157,,
0.1,7,0,100,0,74,1.449926,,
0.01,3,0,500,0,500,1.393531,,
0.05,3,0,500,0,259,1.38957,,
0.1,3,0,500,0,112,1.44868,,
0.01,5,0,500,0,500,1.390966,,
0.05,5,0,500,0,143,1.40721,,
0.1,5,0,500,0,69,1.440981,,
0.01,7,0,500,0,492,1.38863,,
0.05,7,0,500,0,111,1.420395,,
0.1,7,0,500,0,63,1.463469,,
